Team/Student,Project ID,Project Title,Engineering Stream,Primary AI Paradigm,Difficulty Level
Team 404 Error,5,EcoWatt – Household Utility and Carbon Footprint Auditor,General / All Streams (Generic),Agentic AI,Beginner
Team AI spark,3,RouteSync – Trajectory and Outdoor Activity Safety Auditor,General / All Streams (Generic),Agentic AI & RAG,Beginner
Team Caterpillars,4,LogicValidator – Boolean and Code Logic Evaluator,General / All Streams (Generic),Agentic AI,Beginner
Team Champions,6,OriginCheck – Plagiarism and Citation Inconsistency Detector,General / All Streams (Generic),Agentic AI,Beginner
Team IT trends,7,StudySift – Text and Note Semantic Search Assistant,General / All Streams (Generic),Local RAG,Beginner
Team Innovators,9,CareerSync – AI-Powered Resume Tailoring and Skill Gap Analyzer,General / All Streams (Generic),Agentic AI,Beginner
Team Rising Stars,1,ExamCraft – Intelligent Study Quiz and Question Generator,General / All Streams (Generic),Agentic AI,Beginner
Team Technoverse,8,FocusFlow – Personal Productivity and Focus Predictor,General / All Streams (Generic),Local RAG,Beginner
